ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
NAVI,8.43,5.64,2.31,0.74,73.0,7.12,1.52,6.64,9.27,10.12,10.96,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, moderate compression, coiled under breakout, risk under 8%"
DRH,12.19,-0.89,1.41,0.94,77.5,3.71,0.97,2.63,13.41,14.63,15.85,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%, penalty: RSI overheated"
FLYW,16.54,5.96,4.29,1.3,68.4,7.26,0.42,6.77,18.19,19.85,21.5,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, buying volume present"
FLG,15.08,0.33,1.0,0.81,77.0,3.29,0.0,3.18,16.59,18.1,19.6,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%, penalty: RSI overheated"
ZONE,0.8,-13.03,0.01,1.52,52.4,24.11,19.43,0.0,0.88,0.96,1.04,42,🔥 BUY NEXT SESSION,"early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, risk under 8%, buying volume present"
BGC,12.65,0.72,6.84,1.16,95.0,4.98,0.0,4.74,13.91,15.18,16.44,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%, penalty: RSI overheated"
ACRS,4.79,-2.64,10.37,1.0,59.3,11.31,2.64,7.72,5.27,5.75,6.23,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, coiled under breakout, risk under 8%"
BKD,14.69,6.14,6.84,1.38,74.5,7.86,0.0,7.28,16.16,17.63,19.1,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, buying volume present"
RC,1.71,1.79,2.4,0.94,59.0,9.37,6.56,6.43,1.88,2.05,2.22,41,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, near breakout, risk under 8%"
MQ,3.97,3.66,2.06,0.84,54.2,5.59,8.74,5.29,4.37,4.76,5.16,41,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, risk under 8%"
