Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CHWY,Chewy Inc,Consumer Cyclical,Internet Retail,USA,7780000000.0,31.55,19.01,0.065,14104652.0
CHYM,Chime Financial Inc,Technology,Software - Application,USA,6620000000.0,,17.38,0.0426,4903536.0
CLOV,Clover Health Investments Corp,Healthcare,Healthcare Plans,USA,2740000000.0,,5.21,0.0296,8255330.0
COMP,Compass Inc,Real Estate,Real Estate Services,USA,8060000000.000001,995.33,10.65,0.0768,17464866.0
COUR,Coursera Inc,Consumer Defensive,Education & Training Services,USA,1740000000.0,,6.09,0.1257,18362614.0
CRMT,Americas Car Mart Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,29640000.0,,3.57,-0.0751,1763857.0
CTKB,Cytek BioSciences Inc,Healthcare,Medical Devices,USA,552730000.0,,4.28,0.0516,1488768.0
CTM,Castellum Inc,Technology,Information Technology Services,USA,71400000.0,,0.75,0.039,6708301.0
CTMX,CytomX Therapeutics Inc,Healthcare,Biotechnology,USA,722770000.0,,3.32,0.054000000000000006,5147912.0
DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,USA,2270000000.0,,9.36,0.0241,1880291.0
DOMO,Domo Inc,Technology,Software - Application,USA,124170000.0,,2.75,0.22769999999999999,5820819.0
DRH,Diamondrock Hospitality Co,Real Estate,REIT - Hotel & Motel,USA,2500000000.0,26.11,12.19,-0.0089,2278636.0
EDIT,Editas Medicine Inc,Healthcare,Biotechnology,USA,429690000.0,,2.8,0.014499999999999999,3811205.0
ELDN,Eledon Pharmaceuticals Inc,Healthcare,Biotechnology,USA,305660000.0,,3.96,0.0025,1906461.0
EXFY,Expensify Inc,Technology,Software - Application,USA,143690000.0,,1.49,-0.0449,1304868.0
FATE,Fate Therapeutics Inc,Healthcare,Biotechnology,USA,240110000.0,,2.06,-0.0463,3812956.0
FLG,Flagstar Bank NA,Financial,Banks - Regional,USA,6290000000.0,,15.08,0.0033,4832042.0
FLO,Flowers Foods Inc,Consumer Defensive,Packaged Foods,USA,1620000000.0,22.37,7.65,0.0132,7515438.0
FLYW,Flywire Corp,Technology,Software - Infrastructure,USA,2040000000.0,71.42,16.54,0.0596,3133825.0
FNB,F.N.B. Corp,Financial,Banks - Regional,USA,6760000000.0,11.71,18.98,0.0123,7098086.0
FTRE,Fortrea Holdings Inc,Healthcare,Biotechnology,USA,1610000000.0,,17.02,0.034,2467822.0
FULC,Fulcrum Therapeutics Inc,Healthcare,Biotechnology,USA,250540000.0,,3.76,-0.023399999999999997,3666771.0
GERN,Geron Corp,Healthcare,Biotechnology,USA,888500000.0,,1.38,0.0259,18853862.0
GETY,Getty Images Holdings Inc,Communication Services,Internet Content & Information,USA,393820000.0,,0.94,0.0108,11429367.0
